1;Fairfield By Marriott Surabaya;1;1;1;0;1;1;1;1;1;1;2;2;2;2;1
2;Fairfield By Marriott Surabaya;1;1;1;1;1;1;1;1;1;1;2;2;2;2;1
3;Java Paragon Hotel And Residence;1;1;1;0;1;1;1;1;1;1;2;3;3;2;1
4;Java Paragon Hotel And Residence;1;1;1;0;1;1;1;1;1;1;2;3;3;2;1
5;Java Paragon Hotel And Residence;1;1;1;1;1;1;1;1;1;1;2;2;3;2;1
6;Java Paragon Hotel And Residence;1;1;1;1;1;1;1;1;1;1;2;2;3;2;1
7;Java Paragon Hotel And Residence;1;1;1;1;1;1;1;1;1;1;2;3;3;2;1
8;Java Paragon Hotel And Residence;1;1;1;1;1;1;1;1;1;1;2;3;3;2;1
9;Singgasana Hotel Surabaya;1;1;1;0;1;1;1;1;1;1;3;3;4;3;1
10;Singgasana Hotel Surabaya;1;1;1;0;1;1;1;1;1;1;2;2;4;3;1
11;Singgasana Hotel Surabaya;1;1;1;0;1;1;1;1;1;1;2;2;4;3;1
12;Singgasana Hotel Surabaya;1;1;1;1;1;1;1;1;1;1;1;2;4;3;1
13;Singgasana Hotel Surabaya;1;1;1;0;1;1;1;1;1;1;1;1;4;3;1
14;Singgasana Hotel Surabaya;1;1;1;1;1;1;1;1;1;1;1;1;4;3;1
15;Tab Hotel Darmo Permai Surabaya;1;1;1;0;1;0;1;1;0;1;4;4;5;3;1
16;Tab Hotel Darmo Permai Surabaya;1;1;1;0;1;0;1;1;0;1;4;3;5;3;1
17;Tab Hotel Darmo Permai Surabaya;1;1;1;0;1;0;1;1;0;1;3;2;5;3;1
18;The Life Styles Hotel Surabaya;1;1;1;0;1;0;1;1;1;1;4;3;1;3;4
19;The Life Styles Hotel Surabaya;1;1;1;0;1;0;1;1;1;1;3;2;1;3;4
20;Hotel Santika Premiere GBG;1;1;1;1;1;1;1;1;1;1;2;2;2;3;4
21;Hotel Santika Premiere GBG;1;1;1;1;1;1;1;1;1;1;2;1;2;3;4
22;Hotel Santika Premiere GBG;1;1;1;1;1;1;1;1;1;1;2;1;2;3;4
23;Bonnet Hotel Surabaya;1;1;1;1;1;0;1;1;0;1;4;3;3;3;4
24;Narita Hotel Surabaya;1;1;1;0;1;1;1;1;0;1;3;2;3;3;4
25;Narita Hotel Surabaya;1;1;1;0;1;1;1;1;0;1;3;1;3;3;4
26;Luxpoint Hotel Baratajaya;1;1;1;1;1;0;1;1;0;1;4;4;5;3;4
27;Garden Palace Hotel Surabaya;1;1;1;1;1;1;1;1;0;1;2;3;4;2;3
28;Garden Palace Hotel Surabaya;1;1;1;1;1;1;1;1;0;1;1;1;4;2;3
29;Swiss-Belinn Tunjungan Surabaya;1;1;1;1;1;1;1;1;1;1;2;2;2;3;3
30;Swiss-Belinn Tunjungan Surabaya;1;1;1;0;1;1;1;1;1;1;2;2;2;3;3
31;Swiss-Belinn Tunjungan Surabaya;1;1;1;0;1;1;1;1;1;1;1;1;2;3;3
32;Wyndham Surabaya;1;1;1;0;1;0;1;1;1;1;2;2;2;3;3
33;Wyndham Surabaya;1;1;1;1;1;0;1;1;1;1;1;1;2;3;3
34;Grand Dafam Signature Surabaya;1;1;1;0;1;1;1;1;1;0;2;3;2;2;3
35;Grand Dafam Signature Surabaya;1;1;1;1;1;1;1;1;1;0;2;3;2;2;3
36;Grand Dafam Signature Surabaya;1;1;1;1;1;1;1;1;1;0;2;2;2;2;3
37;Grand Dafam Signature Surabaya;1;1;1;1;1;1;1;1;1;0;1;1;2;2;3
38;DoubleTree by Hilton Surabaya;1;1;1;1;1;1;1;1;1;1;1;1;3;1;3
39;HARRIS Hotel & Conventions GBG;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3
40;Hotel Aria Centra Surabaya;1;1;1;0;1;0;1;1;0;1;3;2;2;2;3
41;Hotel Aria Centra Surabaya;1;1;1;1;1;0;1;1;0;1;2;2;2;2;3
42;Hotel Aria Centra Surabaya;1;1;1;1;1;0;1;1;0;1;2;2;2;2;3
43;Hotel Aria Centra Surabaya;1;1;1;1;1;0;1;1;0;1;1;1;2;2;3
44;Surabaya 1s Hotel;1;1;1;0;1;1;1;1;0;1;3;1;3;2;3
45;Surabaya 1s Hotel;1;1;1;1;1;1;1;1;0;1;3;1;3;2;3
46;Surabaya 1s Hotel;1;1;1;0;1;1;1;1;0;1;3;1;3;2;3
47;Surabaya 1s Hotel;1;1;1;1;1;0;1;1;0;1;3;1;3;2;3
48;Elmi Hotel;1;1;1;0;1;0;1;1;0;1;3;3;2;3;3
49;Elmi Hotel;1;1;1;1;1;0;1;1;0;1;2;3;2;3;3
50;Elmi Hotel;1;1;1;0;1;0;1;1;0;1;2;2;2;3;3
51;Elmi Hotel;1;1;1;1;1;0;1;1;0;1;2;2;2;3;3
52;ibis Surabaya City Center;1;1;1;1;1;0;1;1;0;1;3;4;3;2;3
53;Grand Surabaya Hotel;1;1;1;1;1;0;1;1;1;1;4;2;4;3;3
54;Grand Surabaya Hotel;1;1;1;1;1;0;1;1;1;1;3;2;4;3;3
55;Grand Surabaya Hotel;1;1;1;1;1;0;1;1;1;1;2;1;4;3;3
56;Grand Surabaya Hotel;1;1;1;1;1;0;1;1;1;1;2;1;4;3;3
57;Life Emerald Hotel Surabaya;1;1;1;1;0;0;1;1;0;1;4;3;3;3;3
58;Life Emerald Hotel Surabaya;1;1;1;1;0;0;1;1;0;1;4;2;3;3;3
59;Life Emerald Hotel Surabaya;1;1;1;1;0;0;1;1;0;1;3;1;3;3;3
60;Grand Inna Tunjungan;1;1;1;0;1;0;1;1;0;0;3;3;4;2;3
61;Grand Inna Tunjungan;1;1;1;0;1;0;1;1;0;0;2;2;4;2;3
62;Grand Inna Tunjungan;1;1;1;1;1;0;1;1;0;0;1;1;4;2;3
63;Choice City Hotel;1;1;1;0;1;1;1;1;0;1;4;3;4;3;3
64;Choice City Hotel;1;1;1;0;1;1;1;1;0;1;4;2;4;3;3
65;Varna Culture Hotel Soerabaia;1;1;1;0;1;0;1;1;0;1;4;3;3;3;3
